sample_id,reviewer_decision,decision_level,can_be_primary_evidence,can_enter_recall_layer,can_enter_vector_index,can_only_be_review_material,should_remain_excluded,anchor_stability_note,semantic_value_note,risk_note,final_comment
B12,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-004-P-0132，但更接近 ZJSHL-CH-004-P-0134；自动挂接不稳。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,长注解释义完整，值得进入 recall 候选；挂接仍需人工复核。
B13,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-004-P-0146，但更接近 ZJSHL-CH-004-P-0149；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,本身已经 low confidence，且句长短，不建议常规放回。
B14,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-004-P-0239，但更接近 ZJSHL-CH-004-P-0241；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,短诊断句可作人工核对线索，但不适合作为线上辅助证据。
B15,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0191；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,这是“文本本身可用、但 link 仍不宜自动放开”的正面对照样本。
B16,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0193；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,文本解释力稳定，可按注解原文参与 recall / secondary，不恢复自动证据链。
B17,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0195；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,与 target 贴合度高，是“局部可放开 raw annotation”的代表样本。
B18,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0215；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,条文解释非常强，但仍建议保持“注解原文、未自动挂接”的展示口径。
B19,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0220；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,可作为 branch 说明的辅助材料，但不建议越级成主依据。
B20,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-008-P-0201；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,温病界分解释较稳定，是“局部可放开 annotation 原文”的另一类样本。
C01,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-006-P-0117；本轮未见明显错挂信号，但仍不建议直接恢复 annotation_links。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,文本本体较稳，但 annotation_links 整体仍未过验收，只能按未挂接注解使用。,对“神丹者，发汗之药也”类问法很有帮助，但仍应按 raw annotation 使用。
C02,可回放到 recall 层，但暂不建议进入 vector,L2,N,Y,N,N,N,safe 中已保留，锚点与对象边界稳定。,文本能补主题召回，但上下文依赖仍偏强，暂不建议 dense 化。,风险相对较低，本轮主要作为 safe 基线对照。,更适合回答“何时当发汗”，对“什么是发汗药”只能作语境补充。
C03,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,直接命中“可发汗，宜麻黄汤”，适合补召回和 short-form rule 检索。
C04,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,与 C03 同类，是“发汗条件 + 方名”短句的代表样本。
C05,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,就是“太阳病是什么”的高价值定义条，short demotion 有明显过保守迹象。
C06,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,风险相对较低，本轮主要作为 safe 基线对照。,不是总定义，但可作为太阳病典型分支的强证据条。
C07,可回放到 recall 层，但暂不建议进入 vector,L2,N,Y,N,N,N,safe 中已保留，锚点与对象边界稳定。,文本能补主题召回，但上下文依赖仍偏强，暂不建议 dense 化。,风险相对较低，本轮主要作为 safe 基线对照。,病程/再经语境可补足总括问，但不宜替代定义条。
C08,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,风险相对较低，本轮主要作为 safe 基线对照。,方证主条完整，足以作为该问题的 primary。
C09,可回放到 recall 层，但暂不建议进入 vector,L2,N,Y,N,N,N,safe 中已保留，锚点与对象边界稳定。,文本能补主题召回，但上下文依赖仍偏强，暂不建议 dense 化。,风险相对较低，本轮主要作为 safe 基线对照。,方题与药味可增强检索聚焦，但回答“作用”时不宜抬得过高。
C10,仅建议作为 review / risk material,L3,N,N,N,Y,N,safe 中已保留，锚点与对象边界稳定。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,风险相对较低，本轮主要作为 safe 基线对照。,配伍信息可辅助人工核对，但对“作用”问本身帮助有限，更适合 review。
D01,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,safe 基线中的稳定正文条，可持续作为 primary 对照。
D02,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,分支条文完整、检索友好，是 safe 保留策略的正样本。
D03,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,方题本身结构清晰，是 safe 主条层可用性的代表样本。
D04,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,方后法完整，展示 safe 中保留下来的长条是稳定可用的。
D05,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,主治句完整，是 safe 正文层的典型稳定样本。
D06,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,稳定的方题条，有助于校准“方剂相关内容并未被过度压缩”。
D07,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,长配方法保留稳定，是 safe 主条与 chunk 互相回指的好对照。
D08,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,经典方题条留在 safe 中且语义自足，可作为稳定基线。
D09,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,长方法条保留稳定，说明 safe 并非对所有长条一刀切保守。
D10,safe 基线中的稳定对照，可继续作为 primary,L1,Y,Y,Y,N,N,safe 中已保留，锚点与对象边界稳定。,safe 对照样本文本完整、结构稳定，可作为当前基线。,风险相对较低，本轮主要作为 safe 基线对照。,复合条件主条仍能稳定留在 safe 中，适合作为对照样本。
