sample_id,source_type,original_id,current_safe_status,risk_reason,text_excerpt,related_anchor_or_passage_id,related_query_topic,suggested_review_bucket
B16,annotation,ZJSHL-CH-008-P-0194,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,风，阳也。寒，阴也。风则伤卫，发热，汗出，恶风者，卫中风。医统本有「也」字荣病，发热，无汗，不恶风而恶寒；卫病，则发热，汗出，不恶寒而恶风。以卫为阳，卫外者也，病则不…,ZJSHL-CH-008-P-0193,太阳病,stable_annotation_control_definition
B17,annotation,ZJSHL-CH-008-P-0196,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,经曰：凡伤于寒，则为病热，为寒气客于经中，阳经怫结而成热也。中风即发热者，风为阳也。及伤寒云，或已发热，或未发热，以寒为阴邪，不能即热，郁而方变热也。风则伤卫，寒则伤…,ZJSHL-CH-008-P-0195,太阳病,stable_annotation_control_definition
B18,annotation,ZJSHL-CH-008-P-0216,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,阳以候卫，阴以候荣。阳脉浮者，卫中风也；阴脉弱者，荣气弱也。风并于卫，则卫实而荣虚，故发热汗自出也。经曰：太阳病，发热汗出者，此为荣弱卫强者是也。啬啬者，不足也，恶寒…,ZJSHL-CH-008-P-0215,太阳病,stable_annotation_control_branch
B19,annotation,ZJSHL-CH-008-P-0221,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,头痛者，太阳也；发热汗出恶风者，中风也。与桂枝汤，解散风邪。,ZJSHL-CH-008-P-0220,太阳病,stable_annotation_control_branch
B20,annotation,ZJSHL-CH-008-P-0202,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,发热而渴，不恶寒者，阳明也。此太阳受邪，知为温病，非伤寒也。积温成热，所以发热而渴，不恶寒也。,ZJSHL-CH-008-P-0201,太阳病,stable_annotation_control_definition
C01,annotation,ZJSHL-CH-006-P-0118,disabled,annotation_link_disabled_in_safe; medium_confidence_link_not_flagged,夫如是，则神丹安可以误发，甘遂何可以妄攻。虚盛之治，相背千里，吉凶之机，应若影响，岂容易哉！神丹者，发汗之药也。甘遂者，下药也。若汗下当则吉，汗下不当则凶，其应如影随…,ZJSHL-CH-006-P-0117,发汗药,query_fahan_annotation
C02,main_passage,ZJSHL-CH-003-P-0090,kept,safe_retained_query_candidate,经云：脉浮大，应发汗，若反下之，为大逆。浮大之脉，邪在表也，当发其汗，若反下之，是攻其正气，邪气得以深入，故为大逆。浮则无血者，下后亡血也；大则为寒者，邪气独在也。,,发汗药,query_fahan_kept_context
C03,main_passage,ZJSHL-CH-009-P-0069,downgraded,short_text_lt20; retrieval_primary_demoted_in_safe,脉浮者，病在表，可发汗，宜麻黄汤。,,发汗药,query_fahan_short_formula_rule
C04,main_passage,ZJSHL-CH-009-P-0071,downgraded,short_text_lt20; retrieval_primary_demoted_in_safe,脉浮而数者，可发汗，宜麻黄汤。,,发汗药,query_fahan_short_formula_rule
C05,main_passage,ZJSHL-CH-008-P-0191,downgraded,short_text_lt20; retrieval_primary_demoted_in_safe,太阳之为病，脉浮，头项强痛而恶寒。,,太阳病,query_taiyang_definition
C06,main_passage,ZJSHL-CH-008-P-0193,kept,safe_retained_query_candidate,太阳病，发热，汗出，恶风，脉缓者，名为中风。,,太阳病,query_taiyang_branch
C07,main_passage,ZJSHL-CH-008-P-0207,kept,safe_retained_query_candidate,太阳病，头痛至七日已赵本作「以」上自愈者，以行其经尽故也。若欲作再经者，针足阳明，使经不传则愈。,,太阳病,query_taiyang_course
C08,main_passage,ZJSHL-CH-017-P-0063,kept,safe_retained_query_candidate,伤寒解后，虚羸少气，气逆欲吐者，赵本无「者」字竹叶石膏汤主之。,,竹叶石膏汤方作用,query_formula_effect_primary
C09,main_passage,ZJSHL-CH-017-P-0065,kept,safe_retained_query_candidate,竹叶石膏汤方：竹叶二把。辛平 石膏一斤。甘寒 半夏半升，洗。辛温 人参三。赵本作「二」两。,,竹叶石膏汤方作用,query_formula_heading
C10,main_passage,ZJSHL-CH-017-P-0066,kept,safe_retained_query_candidate,甘温 甘草二两，炙。甘平 粳米半升。甘微寒 麦门冬一升，去心。甘平,,竹叶石膏汤方作用,query_formula_ingredients
D01,main_passage,ZJSHL-CH-008-P-0195,kept,safe_retained_control,太阳病，或已发热，或未发热，必恶寒，体痛，呕逆，脉阴阳俱紧者，名曰赵本作「为」伤寒。,,,stable_safe_main_control
D02,main_passage,ZJSHL-CH-008-P-0215,kept,safe_retained_control,太阳中风，阳浮而阴弱。阳浮者，热自发；阴弱者，汗自出。啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣乾呕者，桂枝汤主之。,,,stable_safe_main_control
D03,main_passage,ZJSHL-CH-008-P-0217,kept,safe_retained_control,桂枝汤方：桂枝三两，去皮，味辛热，按：下药性，赵本无，以后并同 芍药三两。味苦酸，微寒 甘草二两，炙，味甘平 生姜三两，切，味辛温 大枣十二枚，擘，味甘温,,,stable_safe_main_control
D04,main_passage,ZJSHL-CH-008-P-0219,kept,safe_retained_control,右伍味，㕮咀。赵本有「三味」二字以水柒升，微火煑取三升，去滓，适寒温，服壹升。服已须臾，歠热稀粥壹升馀，以助药力，温覆令壹时许，遍身漐漐，微似有汗者益佳，不可令如水流…,,,stable_safe_main_control
D05,main_passage,ZJSHL-CH-009-P-0002,kept,safe_retained_control,太阳病，项背强几几，无汗，恶风，葛根汤主之。,,,stable_safe_main_control
D06,main_passage,ZJSHL-CH-009-P-0004,kept,safe_retained_control,葛根汤方：葛根四两麻黄三两，去节桂赵本有「枝」字，二两，去皮芍药二两，切。赵本无「切」字甘草二两，炙生姜三两，切 大枣十二枚，擘,,,stable_safe_main_control
D07,main_passage,ZJSHL-CH-009-P-0006,kept,safe_retained_control,右柒味㕮咀，赵本无「㕮咀」二字以水一斗，先煑麻黄葛根，减二升，去赵本有「白」字沫，内诸药，煑取三升，去滓，温服一升，覆取微似汗，不须啜粥，赵本无「不须啜粥」一句馀如桂…,,,stable_safe_main_control
D08,main_passage,ZJSHL-CH-009-P-0022,kept,safe_retained_control,麻黄汤方：麻黄三两，去节。味甘温 桂枝二，医统本作三两，去皮。味辛热 甘草一两，炙。味甘平,,,stable_safe_main_control
D09,main_passage,ZJSHL-CH-009-P-0025,kept,safe_retained_control,上四味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合，覆取微似汗，不须啜粥，馀如桂枝法将息。,,,stable_safe_main_control
D10,main_passage,ZJSHL-CH-009-P-0038,kept,safe_retained_control,伤寒表不解，心下有水气，乾呕发热而咳，或渴，或利，或噎，或小便不利，少腹满，或喘者，小青龙汤主之。,,,stable_safe_main_control
